I'm 19.	Tengo diecinueve.
You're the only one who bought it.	Son los únicos que la compraron.
You're the only one who bought it.	Usted es la única que lo compró.
You're the only one who can do it.	Vos sos el único que puede hacerlo.
You're the prettiest girl in town.	Eres la chica más guapa de la ciudad.
You're wrong. That's not the case.	Estás equivocado, ese no es el caso.
He is a close friend of my brother.	Él es un amigo cercano de mi hermano.
He is a doctor and also a novelist.	Él es médico y también escritor de novelas.
He is afraid to fly in an airplane.	Tiene miedo de ir en avión.
He is either in London or in Paris.	Él está o en Londres o en París.
He is entitled to better treatment.	Él tiene derecho a un mejor tratamiento.
He is likely to be late for school.	Seguramente él llegará tarde a la escuela.
He is not old enough to live alone.	Él no es lo suficiente mayor para vivir solo.
He is nothing but a minor composer.	Él no es más que un compositor de segunda categoría.
He is prisoner, but he is innocent.	Está preso, pero es inocente.
He is sometimes absent from school.	A veces falta a la escuela.
He is the dumbest kid in the class.	Es el niño más tonto de la clase.
He is the father of three children.	Él es el padre de tres hijos.
He is the last man to take a bribe.	Es el último hombre que acepta un soborno.
He is the man who drew the picture.	Él es el hombre que hizo este dibujo.
He is waiting for a telephone call.	Él está esperando una llamada.
He is worried about losing his job.	Él está preocupado de perder su empleo.
He's about the same age as you are.	Él tiene más o menos tu misma edad.
He's always asking silly questions.	Él siempre hace preguntas tontas.
He's better at the piano than I am.	Él es mejor que yo tocando el piano.
He's getting used to the situation.	Él se está acostumbrando a la situación.
He's nervous and easily frightened.	Está nervioso y se asusta con facilidad.
He's not good at remembering names.	Él no es bueno para recordar nombres.
He's three years older than she is.	Él tiene tres años más que ella.
He's three years older than she is.	Él es tres años mayor que ella.
He's worried that he might be late.	Le preocupa que él se pueda atrasar.
He's worried that he might be late.	Le preocupa que él pueda llegar atrasado.
I am a student at Hyogo University.	Soy estudiante de la universidad Hyogo.
I am able to swim across the river.	Soy capaz de cruzar el río a nado.
I am accustomed to staying up late.	Yo estoy acostumbrado a quedarme despierto hasta tarde.
I am afraid he will make a mistake.	Tengo miedo de que cometa un error.
I am afraid that you will get lost.	Me temo que te perderás.
I am afraid to jump over the ditch.	Me da miedo saltar la zanja.
I am convinced that he is innocent.	Estoy convencido de que es inocente.
I am doubtful whether he will come.	Dudo que él venga.
I am feeling wonderfully refreshed.	Me siento maravillosamente refrescado.
I am going to leave my present job.	Voy a abandonar mi empleo actual.
I am going to play soccer tomorrow.	Mañana voy a jugar al fútbol.
I am grateful to you for your help.	Le agradezco mucho por su ayuda.
I am his friend and will remain so.	Soy su amigo y seguiré siéndolo.
I am looking forward to seeing you.	Tengo ganas de verte.
I am looking forward to seeing you.	Espero verte.
I am looking forward to seeing you.	Estoy deseando verte.
I am looking forward to seeing you.	Estoy impaciente por volverte a ver.
I am married and I have a daughter.	Estoy casado y tengo una hija.
I am married and I have a daughter.	Estoy casada y tengo una hija.
I am married and have two children.	Estoy casada y tengo dos niños.
I am not always at home on Sundays.	No siempre estoy en casa los domingos.
I am not always at home on Sundays.	No siempre estoy en la casa los domingos.
I am not concerned with the affair.	No tengo nada que ver en ese asunto.
I am not rich, nor do I wish to be.	Ni soy rico ni quiero serlo.
I am not sure when he will be back.	No sé cuándo volverá.
I am often mistaken for my brother.	A menudo me confunden con mi hermano.
I am repairing the washing machine.	Estoy arreglando la lavadora.
I am repairing the washing machine.	Estoy arreglando el lavarropa.
I am repairing the washing machine.	Estoy arreglando el lavarropas.
I am repairing the washing machine.	Estoy reparando el lavarropa.
I am repairing the washing machine.	Estoy reparando el lavarropas.
I am repairing the washing machine.	Estoy reparando la lavadora.
I am so busy that I can't help you.	Estoy tan ocupado que no te puedo ayudar.
I am so busy that I can't help you.	Estoy tan ocupada que no puedo ayudarlo.
I am so busy that I don't watch TV.	Estoy tan ocupado que no veo la televisión.
I am sure that he is an honest man.	Estoy seguro de que es un hombre honesto.
I am taking a holiday at the beach.	Estoy tomándome unas vacaciones en la playa.
I am taking pictures of the bridge.	Estoy tomando fotos del puente.
I am tired and I want to go to bed.	Estoy cansado, quiero irme a la cama.
I am tired and I want to go to bed.	Estoy cansada y me quiero ir a la cama.
I am training a horse for the race.	Estoy entrenando un caballo de carreras.
I am trying to avoid any arguments.	Estoy intentando evitar cualquier discusión.
I am unable to agree on that point.	No puedo estar de acuerdo en este punto.
I am very pleased to hear the news.	Yo estoy muy satisfecho de oír las noticias.
I am waiting for the store to open.	Estoy esperando que abran la tienda.
I am worn out from working all day.	Estoy agotado de trabajar durante todo el día.
I am worn out from working all day.	Estoy quemado de trabajar durante todo el día.
I'm a little low on cash right now.	Estoy un poco corto de efectivo por el momento.
I'm a totally different person now.	Ahora soy una persona totalmente distinta.
I'm actually quite happy with that.	La verdad es que estoy bastante contento con ello.
I'm actually quite happy with that.	Lo cierto es que estoy bastante satisfecho con eso.
I'm angry about what happened, too.	Yo también estoy enfadado con lo que pasó.
I'm angry about what happened, too.	Yo también estoy enojado con lo que ocurrió.
I'm beginning to feel quite secure.	Me estoy empezando a sentir bastante inseguro.
I'm being good to you this morning.	Estoy siendo bueno contigo esta mañana.
I'm being good to you this morning.	Yo estoy siendo bueno contigo esta mañana.
I'm being good to you this morning.	Estoy siendo bueno con ustedes esta mañana.
I'm being good to you this morning.	Yo estoy siendo bueno con ustedes esta mañana.
I'm being good to you this morning.	Estoy siendo bueno con usted esta mañana.
I'm being good to you this morning.	Yo estoy siendo bueno con usted esta mañana.
I'm being good to you this morning.	Estoy siendo buena con usted esta mañana.
I'm being good to you this morning.	Yo estoy siendo buena con usted esta mañana.
I'm being good to you this morning.	Estoy siendo buena con ustedes esta mañana.
I'm being good to you this morning.	Yo estoy siendo buena con ustedes esta mañana.
I'm being good to you this morning.	Estoy siendo buena contigo esta mañana.
I'm being good to you this morning.	Yo estoy siendo buena contigo esta mañana.
I'm getting married to her in June.	Me voy a casar con ella en junio.
I'm going to arrange these flowers.	Voy a colocar estas flores.
I'm going to teach you some karate.	Voy a enseñarte un poco de kárate.
I'm going to tell you what I think.	Te voy a decir lo que pienso.
I'm going to the well to get water.	Voy al pozo a coger agua.
I'm here to teach you some manners.	Estoy aquí para enseñarte modales.
I'm hungry because I haven't eaten.	Tengo hambre porque no he comido.
I'm interested in Japanese history.	Estoy interesado en la historia de Japón.
I'm interested in oriental pottery.	Estoy interesado en la cerámica oriental.
I'm just saying we can't leave yet.	Sólo digo que no podemos irnos todavía.
I'm just saying you can't blame me.	Solo estoy diciendo que no puedes culparme.
I'm leaving for Australia tomorrow.	Salgo mañana para Australia.
I'm looking for a gift for my wife.	Estoy buscando un regalo para mi mujer.
I'm looking forward to his present.	Espero con ganas su regalo.
I'm looking forward to next season.	Estoy deseando que llegue la próxima estación.
I'm looking forward to next season.	Tengo muchas ganas de que llegue la próxima temporada.
I'm never going to stop loving you.	Nunca voy a dejar de amarte.
I'm never going to trust you again.	Nunca más voy a volver a confiar en vos.
I'm never taking you fishing again.	Nunca más te llevo a pescar.
I'm not against people owning guns.	No me opongo a que la gente posea armas.
I'm not against people owning guns.	No estoy en contra de que la gente posea armas.
I'm not against people owning guns.	No soy contrario a que la gente posea armas.
I'm not as healthy as I used to be.	No estoy tan sano como antaño.
I'm not familiar with that subject.	No estoy familiarizado con ese tema.
I'm not good at classifying things.	No soy bueno clasificando cosas.
I'm not in a mood to eat right now.	Ahora mismo no estoy de humor para comer.
I'm not in a position to accept it.	No estoy en condiciones de aceptar.
I'm not interested in your opinion.	No me interesa tu opinión.
I'm not looking for a relationship.	No estoy buscando una relación.
I'm not saying I'm better than Tom.	No estoy diciendo que soy mejor que Tom.
I'm not sure when Tom will be back.	No estoy seguro de cuándo volverá Tom.
I'm not the only one who likes Tom.	No soy el único al que le gusta Tom.
I'm not willing to do that for you.	No estoy dispuesto a hacerlo por ti.
I'm planning on losing some weight.	Estoy pensando en perder algo de peso.
I'm planning on losing some weight.	Me estoy meditando adelgazar un poco.
I'm reading a book about languages.	Estoy leyendo un libro de idiomas.
I'm really not much of a guitarist.	No le pego mucho a la guitarra en realidad.
I'm really not much of a performer.	No soy bueno como intérprete.
I'm really not much of a performer.	No sirvo para representar.
I'm really starting to get worried.	Realmente estoy empezando a preocuparme.
I'm responsible for my own actions.	Soy responsable de mis propias acciones.
I'm scared Tom is going to kill me.	Tengo miedo de que Tom vaya a matarme.
I'm scared Tom is going to kill me.	Temo que Tom me mate.
I'm sick of eating out every night.	Estoy cansado de salir a comer todas las noches.
I'm sitting in the railway station.	Estoy sentado en la estación de tren.
I'm sorry, but I can't go with you.	Lo siento, pero no puedo ir contigo.
I'm sorry, but I don't have change.	Lo siento, pero no tengo cambio.
I'm sorry, my mother's not at home.	Lo siento, mi mamá no está en casa.
I'm still not completely convinced.	Aún no estoy totalmente convencido.
I'm studying French and web design.	Estoy estudiando francés y diseño de páginas web.
